x,y,z,u,v,w,p
-2.1336,0,0.0363636,2.08649,9.22E-05,0.00559682,1.92984
-2.36113,0,0.0363636,2.20389,8.21E-05,0.00470065,1.65452
-1.90714,0,0.0363636,1.93426,9.62E-05,0.00674327,2.26224
-1.68174,0,0.0363636,1.73527,0.000154518,0.00773776,2.66551
-1.45738,0,0.0363636,1.46528,0.000112917,0.00947169,3.14272
-1.23408,0,0.0363636,1.10876,0.000116245,0.014838,3.70153
-1.01182,0,0.0363636,0.533756,-1.09E-05,0.0183437,4.23435
-0.790599,0,0.0363636,-0.0442248,-9.01E-05,-0.00979917,4.58251
-0.771837,0,0.0363636,-0.272438,7.95E-05,-0.0471526,4.71873
-0.753073,0,0.0363636,-0.3222,0.000112179,-0.0684019,4.7564
-0.734307,0,0.0363636,-0.365663,0.000129266,-0.0931427,4.80119
-0.715538,0,0.0363636,-0.40098,0.000137866,-0.12053,4.85488
-0.696766,0,0.0363636,-0.42699,0.000141722,-0.14994,4.91774
-0.67799,0,0.0363636,-0.442897,0.000142913,-0.18045,4.98911
-0.659208,0,0.0363636,-0.448085,0.000142596,-0.210532,5.0676
-0.640421,0,0.0363636,-0.441552,0.000142005,-0.238159,5.15212
-0.621625,0,0.0363636,-0.401063,0.0203966,-0.277388,5.25556
-0.593421,0,0.0181818,-0.473373,0.000150728,-0.203407,5.49424
-0.602815,0,0.0181818,-0.521554,0.000139078,-0.181754,5.41661
-0.574616,0,0.0181818,-0.377846,0.000151447,-0.230418,5.57701
-0.58402,0,0.0181818,-0.42511,0.000152339,-0.219043,5.53957
-0.5558,0,0.0181818,-0.271455,0.000147866,-0.248096,5.62158
-0.565208,0,0.0181818,-0.326203,0.000150007,-0.241016,5.60415
-0.522904,0,0.00909088,0.0178479,0.000125513,-0.121683,5.64628
-0.527596,0,0.00909089,-0.0141402,0.000121738,-0.142162,5.66331
-0.504142,0,0.00909098,0.0524656,9.22E-05,0.0819647,5.62147
-0.508837,0,0.00909088,0.0623758,0.000122766,0.0111603,5.61782
0.50883,0,0.00909189,0.0397806,0.0016937,-0.0676493,-1.91006
0.504141,0,0.00909243,0.0259774,0.0014825,-0.0764602,-1.90921
0.527545,0,0.00909109,0.0360312,0.00171512,0.0101734,-1.91652
0.522866,0,0.00909117,0.0463224,0.00173684,-0.00944486,-1.91581
0.56969,0,0.0181819,-0.202621,0.00111614,0.0737183,-1.92892
0.560323,0,0.0181819,-0.155963,0.00119425,0.0709911,-1.92235
0.588428,0,0.0181818,-0.295524,0.00102588,0.0771981,-1.94946
0.579058,0,0.0181818,-0.248446,0.0010603,0.0756262,-1.9373
0.635269,0,0.0363636,-0.513972,0.00103954,0.0961386,-2.03778
