x,y,z,u,v,w,p
0.6,0,0.1,-0.365612,0.00108027,0.227251,-2.05275
0.6,0,0.2,-0.330672,0.00110104,0.340471,-2.11314
0.6,0,0.3,-0.298496,0.0010727,0.439809,-2.19653
0.6,0,0.4,-0.271325,0.00102136,0.524761,-2.29458
0.6,0,0.5,-0.243562,0.000960555,0.596789,-2.39543
0.6,0,0.6,-0.219045,0.000889775,0.654779,-2.49704
0.6,0,0.7,-0.198758,0.00081154,0.69772,-2.5965
0.6,0,0.8,-0.17951,0.000732505,0.728629,-2.68841
0.6,0,0.9,-0.15838,0.000658183,0.751688,-2.76866
0.6,0,1,-0.138673,0.0005881,0.764451,-2.83899
0.6,0,1.1,-0.121371,0.000524034,0.765723,-2.89914
0.6,0,1.2,-0.104299,0.000467663,0.758202,-2.94782
0.6,0,1.3,-0.0851392,0.000418584,0.744756,-2.98376
0.6,0,1.4,-0.0655848,0.000377046,0.721603,-3.0072
0.6,0,1.5,-0.0458405,0.000344634,0.686436,-3.01779
0.6,0,1.6,-0.0238005,0.000323107,0.639115,-3.01517
0.6,0,1.7,0.00260317,0.000311084,0.577199,-2.99872
0.6,0,1.8,0.0373787,0.00026436,0.488752,-2.9678
0.6,0,1.9,0.120798,-1.50E-05,0.344407,-2.90786
0.6,0,2,0.765225,0.000753842,0.06796,-2.74138
0.6,0,2.1,1.77989,0.00146658,0.0112557,-2.67143
0.6,0,2.2,2.724,0.00106914,-0.0274245,-2.70289
0.6,0,2.3,3.65452,0.000548887,-0.0137136,-2.66935
0.6,0,2.4,4.35284,0.000295923,0.0292322,-2.57255
0.6,0,2.5,4.75611,0.00023271,0.0688463,-2.42768
0.75,0,0.1,-0.776171,0.000731324,0.111356,-2.40897
0.75,0,0.2,-0.702017,0.000770516,0.203252,-2.4414
0.75,0,0.3,-0.643243,0.000781262,0.277362,-2.49778
0.75,0,0.4,-0.589998,0.000771334,0.340152,-2.56838
0.75,0,0.5,-0.538124,0.000750689,0.391263,-2.63985
0.75,0,0.6,-0.488052,0.000719657,0.433293,-2.71008
0.75,0,0.7,-0.439349,0.000678588,0.466708,-2.77639
0.75,0,0.8,-0.393206,0.000630245,0.492518,-2.83795
0.75,0,0.9,-0.346844,0.000580737,0.509631,-2.89037
0.75,0,1,-0.301485,0.000529795,0.519463,-2.93493
0.75,0,1.1,-0.257234,0.000478828,0.522444,-2.97154
0.75,0,1.2,-0.215039,0.000429518,0.518959,-3.00053
0.75,0,1.3,-0.170815,0.000381567,0.509053,-3.01821
0.75,0,1.4,-0.12465,0.000338736,0.492802,-3.02439
0.75,0,1.5,-0.0749472,0.000302417,0.469043,-3.02194
0.75,0,1.6,-0.0205288,0.000276362,0.434934,-3.00886
0.75,0,1.7,0.0509842,0.00026257,0.385898,-2.98416
0.75,0,1.8,0.162803,0.000256422,0.31064,-2.9454
0.75,0,1.9,0.407684,0.000303211,0.184084,-2.8723
0.75,0,2,1.05368,0.000663222,0.0232072,-2.7629
0.75,0,2.1,1.93322,0.00110183,-0.0286201,-2.68299
0.75,0,2.2,2.79356,0.000978265,-0.0527616,-2.63883
0.75,0,2.3,3.62651,0.000606252,-0.0500864,-2.57797
0.75,0,2.4,4.28724,0.000338958,-0.021759,-2.47416
0.75,0,2.5,4.69643,0.000235427,0.0112707,-2.33654
1.25,0,0.1,-1.24193,0.000366569,0.0267118,-2.70251
1.25,0,0.2,-1.15301,0.000401088,0.0541409,-2.70364
1.25,0,0.3,-1.06443,0.000439082,0.0797271,-2.71719
1.25,0,0.4,-0.9767,0.00047071,0.100313,-2.73862
1.25,0,0.5,-0.887966,0.000495906,0.113867,-2.7621
1.25,0,0.6,-0.800181,0.000511534,0.123798,-2.78623
1.25,0,0.7,-0.713923,0.000515933,0.130689,-2.80968
1.25,0,0.8,-0.628026,0.000509805,0.133752,-2.83011
1.25,0,0.9,-0.540567,0.000495167,0.132293,-2.84613
1.25,0,1,-0.454024,0.000469803,0.128496,-2.8579
1.25,0,1.1,-0.368669,0.000434642,0.122437,-2.86527
1.25,0,1.2,-0.282515,0.000392847,0.113481,-2.86645
1.25,0,1.3,-0.191097,0.000347724,0.101256,-2.85885
1.25,0,1.4,-0.0941354,0.000301747,0.0862198,-2.84488
1.25,0,1.5,0.0127527,0.000260357,0.0675655,-2.82922
1.25,0,1.6,0.141275,0.000230625,0.043334,-2.80716
1.25,0,1.7,0.32075,0.000225475,0.0101474,-2.77652
1.25,0,1.8,0.584545,0.000261147,-0.0366633,-2.73763
1.25,0,1.9,0.989667,0.000360374,-0.101043,-2.68398
1.25,0,2,1.58234,0.000533701,-0.165491,-2.60641
1.25,0,2.1,2.27764,0.000679361,-0.192491,-2.51425
1.25,0,2.2,2.98374,0.000669756,-0.195237,-2.41653
1.25,0,2.3,3.64995,0.000506791,-0.181488,-2.30861
1.25,0,2.4,4.20286,0.000334766,-0.153333,-2.19076
1.25,0,2.5,4.58989,0.000233555,-0.119667,-2.06878
0.6,-0.625,0.1,-0.320992,-0.486144,0.0840218,-2.79426
0.6,-0.625,0.2,-0.223794,-0.465725,0.153448,-2.756
0.6,-0.625,0.3,-0.125847,-0.435255,0.218571,-2.73276
0.6,-0.625,0.4,-0.00668175,-0.383104,0.273879,-2.73206
0.6,-0.625,0.5,0.0793753,-0.339211,0.326323,-2.73831
0.6,-0.625,0.6,0.181678,-0.288552,0.371843,-2.75054
0.6,-0.625,0.7,0.282551,-0.241906,0.413155,-2.76426
0.6,-0.625,0.8,0.408097,-0.192458,0.440589,-2.79716
0.6,-0.625,0.9,0.48103,-0.148901,0.460744,-2.82415
0.6,-0.625,1,0.565158,-0.112778,0.467647,-2.85455
0.6,-0.625,1.1,0.637841,-0.0861724,0.463268,-2.87492
0.6,-0.625,1.2,0.741827,-0.0644309,0.440352,-2.90494
0.6,-0.625,1.3,0.805197,-0.0430904,0.401561,-2.91243
0.6,-0.625,1.4,0.899666,-0.0267352,0.351938,-2.91101
0.6,-0.625,1.5,1.01281,-0.0124512,0.296495,-2.88775
0.6,-0.625,1.6,1.20959,0.00804387,0.237881,-2.87352
0.6,-0.625,1.7,1.44342,0.0312194,0.164938,-2.83405
0.6,-0.625,1.8,1.80385,0.0629629,0.106585,-2.78056
0.6,-0.625,1.9,2.30711,0.108243,0.0641666,-2.69639
0.6,-0.625,2,3.03715,0.158031,0.0366859,-2.64753
0.6,-0.625,2.1,3.74381,0.170984,0.0116461,-2.61591
0.6,-0.625,2.2,4.2802,0.12866,0.0143121,-2.51904
0.6,-0.625,2.3,4.62766,0.0735161,0.0368317,-2.40543
0.6,-0.625,2.4,4.83893,0.0318355,0.064605,-2.27439
0.6,-0.625,2.5,4.97096,0.00780638,0.0874448,-2.13345
0.75,-0.625,0.1,-0.210514,-0.269065,0.0632203,-2.88441
0.75,-0.625,0.2,-0.119985,-0.299221,0.119788,-2.86156
0.75,-0.625,0.3,-0.026555,-0.30507,0.171559,-2.84995
0.75,-0.625,0.4,0.0687042,-0.290915,0.219709,-2.82208
0.75,-0.625,0.5,0.175384,-0.270924,0.269477,-2.8468
0.75,-0.625,0.6,0.279975,-0.242042,0.31331,-2.85374
0.75,-0.625,0.7,0.387443,-0.209323,0.352639,-2.86381
0.75,-0.625,0.8,0.493898,-0.170746,0.381564,-2.85918
0.75,-0.625,0.9,0.592372,-0.13978,0.411922,-2.88903
0.75,-0.625,1,0.685839,-0.106876,0.426954,-2.9008
0.75,-0.625,1.1,0.776103,-0.0777732,0.429149,-2.91031
0.75,-0.625,1.2,0.868804,-0.0507872,0.409081,-2.90792
0.75,-0.625,1.3,0.952642,-0.0291732,0.391575,-2.91557
0.75,-0.625,1.4,1.05308,-0.00885467,0.352214,-2.90636
0.75,-0.625,1.5,1.17952,0.0100845,0.300746,-2.88817
0.75,-0.625,1.6,1.36083,0.032263,0.236277,-2.85625
0.75,-0.625,1.7,1.5852,0.0568011,0.172648,-2.81975
0.75,-0.625,1.8,1.92486,0.0860486,0.105627,-2.76489
0.75,-0.625,1.9,2.41509,0.12356,0.0488569,-2.69386
0.75,-0.625,2,3.08717,0.159749,0.00860771,-2.59982
0.75,-0.625,2.1,3.73901,0.173238,-0.0125736,-2.51475
0.75,-0.625,2.2,4.243,0.144493,-0.0143683,-2.42394
0.75,-0.625,2.3,4.58385,0.0992632,0.000409751,-2.31857
0.75,-0.625,2.4,4.80097,0.0604963,0.0217522,-2.1983
0.75,-0.625,2.5,4.94199,0.035407,0.0425261,-2.07209
1.25,-0.625,0.1,-0.198288,0.0158239,0.0371037,-2.84565
1.25,-0.625,0.2,-0.14953,-0.0137406,0.0629644,-2.85296
1.25,-0.625,0.3,-0.064939,-0.0373772,0.0866643,-2.84242
1.25,-0.625,0.4,0.0460103,-0.0495273,0.109338,-2.82775
1.25,-0.625,0.5,0.133792,-0.0433454,0.130565,-2.84962
1.25,-0.625,0.6,0.238296,-0.0332359,0.152992,-2.86432
1.25,-0.625,0.7,0.374173,-0.0214683,0.175588,-2.85261
1.25,-0.625,0.8,0.519257,-0.0057462,0.195691,-2.83126
1.25,-0.625,0.9,0.631192,0.0158455,0.215223,-2.84586
1.25,-0.625,1,0.750324,0.0384123,0.23203,-2.84965
1.25,-0.625,1.1,0.887883,0.0596212,0.23851,-2.82579
1.25,-0.625,1.2,1.02848,0.0791491,0.232381,-2.79286
1.25,-0.625,1.3,1.14751,0.103299,0.229549,-2.78817
1.25,-0.625,1.4,1.28066,0.126523,0.214549,-2.77106
1.25,-0.625,1.5,1.44925,0.14433,0.176173,-2.72783
1.25,-0.625,1.6,1.6598,0.160038,0.124644,-2.67176
1.25,-0.625,1.7,1.8994,0.183856,0.0774123,-2.6337
1.25,-0.625,1.8,2.22595,0.20514,0.0176328,-2.57826
1.25,-0.625,1.9,2.6811,0.218397,-0.042161,-2.49056
1.25,-0.625,2,3.22758,0.22261,-0.0828292,-2.38465
1.25,-0.625,2.1,3.75356,0.21835,-0.104375,-2.29554
1.25,-0.625,2.2,4.19253,0.194902,-0.107222,-2.19655
1.25,-0.625,2.3,4.50919,0.155144,-0.0948794,-2.08559
1.25,-0.625,2.4,4.72506,0.116492,-0.0761049,-1.97433
1.25,-0.625,2.5,4.87615,0.0899505,-0.0589824,-1.87555
0.6,0.625,0.1,-0.321837,0.486975,0.0837102,-2.7951
0.6,0.625,0.2,-0.224577,0.466753,0.15292,-2.75683
0.6,0.625,0.3,-0.126457,0.436274,0.217872,-2.73344
0.6,0.625,0.4,-0.00707709,0.386593,0.273666,-2.72865
0.6,0.625,0.5,0.0791872,0.339922,0.32536,-2.73852
0.6,0.625,0.6,0.181728,0.289048,0.370809,-2.75056
0.6,0.625,0.7,0.282846,0.242207,0.412082,-2.76416
0.6,0.625,0.8,0.407022,0.193566,0.440534,-2.79065
0.6,0.625,0.9,0.481682,0.148895,0.459592,-2.82396
0.6,0.625,1,0.565936,0.112707,0.466443,-2.85438
0.6,0.625,1.1,0.638727,0.0860941,0.462013,-2.87478
0.6,0.625,1.2,0.740283,0.0642018,0.439518,-2.89585
